feature,score0,score1,score2,score3,score4,score_mean
3153,0.7059011942460677,0.6346750367086021,0.6337348535673297,0.6458914781079443,0.6805322932357585,0.6601469711731405
3160,0.6374569078830999,0.6233358231492988,0.5628879415335508,0.726799213794552,0.7430185633172749,0.6586996899355553
16,0.5571824216194304,0.6874820235434037,0.6339884740254836,0.5991277317944124,0.7229833172247817,0.6401527936415023
27,0.566709383089572,0.5354801056178771,0.6422486672413372,0.5638028099439164,0.5305956001422034,0.5677673132069813
23,0.5685697521773281,0.5651195810370785,0.46021686958027497,0.5415839999842562,0.5643028429596864,0.5399586091477249
3176,0.5358061765173822,0.5029586722487158,0.49958107933854706,0.5683604755653898,0.5644052479581836,0.5342223303256437
8,0.5249498211829406,0.5166822016284087,0.501758064334389,0.5153550704840124,0.5111955127857598,0.5139881340831021
10,0.5110639223997917,0.5344052322838805,0.5047462965823173,0.4539122245560366,0.5638131528900794,0.5135881657424212
12,0.4537941357214353,0.48547401566879234,0.4806299087772816,0.48946010035388066,0.4837524414652656,0.47862212039733115
3163,0.45482429125008195,0.447137037904214,0.4689591695853624,0.42920419584973823,0.5131341457478459,0.46265176806744845
393,0.49257570603420076,0.4202902435126912,0.4612321044324739,0.4379700796249414,0.47546562881180204,0.4575067524832218
3165,0.4711893916424913,0.4273026982530463,0.41669925617520576,0.4127722534448984,0.41446669168487477,0.4284860582401032
1463,0.3182873996227382,0.36072079804292256,0.8565660580286795,0.10541877594960233,0.44127090139031383,0.41645278660685137
169,0.3555360283037517,0.3283714014356199,0.4259133721548326,0.5332462479707663,0.4048057746556663,0.4095745649041273
774,0.38279831949407966,0.44605064334992245,0.38638856784048103,0.3904493819724302,0.3121476906055022,0.3835669206524831
11,0.4364794438684874,0.35355354483223717,0.26224770324073404,0.41368279380980877,0.33768635634199673,0.36072996841865285
702,0.23563577671182181,0.34398928632885617,0.5242612809579786,0.367576806692967,0.3137922448103218,0.3570510791003891
773,0.28244156439373114,0.3736220672756921,0.3379302250380698,0.325800059797511,0.37480781506537075,0.33892034631407497
20,0.3138473985366641,0.3474076067754353,0.3327852141348916,0.3460992785990111,0.3537801690058652,0.33878393341037344
972,0.36965300384182187,0.29381544853977115,0.3551312504885464,0.3950732806923037,0.2526148103218694,0.33325755877686253
219,0.404694065685792,0.2972781786773127,0.37030313633810547,0.30512343228011446,0.21472893063851417,0.3184255487239677
735,0.2891014244349269,0.27828883762019446,0.20928206023460133,0.3624203093376622,0.3395807486859925,0.29573467606267545
1459,0.27979616864824697,0.31304869430048055,0.40883936279286465,0.1356933499122042,0.33168612222094734,0.2938127395749487
2487,0.22375341433977447,0.1293734647073955,0.2222857284092668,0.686600661020796,0.1825371865967329,0.28891009101479315
22,0.2182052035981832,0.30250349452390574,0.24579757200342006,0.36954154033296005,0.27981777299023997,0.2831731166897418
512,0.2514172052471624,0.24347885683935103,0.25926931688082,0.3410385468285641,0.22010148854351896,0.2630610828678833
6,0.2722720699320421,0.2904210807588922,0.23489501814959046,0.26205596976606227,0.25206991894446085,0.2623428115102096
2934,0.16207592332086612,0.2225817861084369,0.35944929732214653,0.196913681981309,0.3404363197217178,0.25629140169089526
360,0.3020438299822313,0.22443833648995404,0.27445919280744197,0.25473798134253384,0.20049211077598003,0.25123429027962824
1910,0.22064252693444653,0.2502170825517777,0.1384594786777374,0.41736363579675095,0.20253238885899502,0.2458430225639415
2750,0.2851445245173543,0.2580225209699138,0.18120135394798853,0.22578765204332313,0.27769625003984516,0.245570460303685
435,0.22886714859462345,0.335786423238339,0.12632825188006586,0.32709603803611487,0.20144892119898145,0.2439053565896249
3161,0.23291708596751443,0.23265445026357423,0.22573238479248847,0.2777588872907609,0.23311994914004766,0.24043655149087714
468,0.18551134860480528,0.23881008481209012,0.2485296206260986,0.24731877327353266,0.2376108817629537,0.2315561418158961
163,0.28158599500625614,0.20682014818024896,0.23928151002812198,0.18632530503115238,0.24112773588152056,0.23102813882545997
2822,0.2483381699061684,0.22134567512446765,0.1755826791769149,0.14129349413204365,0.30842304743069526,0.21899661315405794
24,0.1938622725891089,0.24650670071545497,0.20641432526669667,0.19798728151248143,0.22202535507416746,0.2133591870315819
33,0.21860326899643578,0.1841603062683619,0.19325878140708147,0.2072577838550776,0.18562956054541058,0.19778194021447346
3171,0.23033920767736388,0.24522528830088516,0.14565367126926154,0.1930253708849707,0.16749710376397317,0.1963481283792909
115,0.1805216848504946,0.22004840905423145,0.1587656257657417,0.21176683779970784,0.19363706777640233,0.1929479250493156
2505,0.22730223079189765,0.2578972827688963,0.21116857527021404,0.11128358011387088,0.12332208429682938,0.18619475064834162
31,0.1549719053791445,0.175561506973957,0.17833123694915382,0.1580010838675999,0.261544945414434,0.18568213571685782
928,0.12130975426961367,0.20835253590224542,0.1949273579734801,0.1768519532735897,0.2068667031811453,0.18166166092001484
2441,0.20707396377548654,0.18438812137673785,0.16327812181710794,0.1671581562636818,0.1634834688854677,0.17707636642369637
2217,0.20956342725955016,0.20501622478651904,0.11436597872262999,0.14301953106331405,0.15281329116774797,0.16495569059995224
1417,0.16544862387531992,0.13299431803044776,0.1780840697201192,0.14725175366738064,0.19432029301498352,0.16361981166165024
